nsnps	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf	gene
1	4.66662197449556e-05	8.78895631739082e-07	0.050416945036502	0	0.949535509848121	ENSG00000154358
13	0.0539368084890375	0.0738661396349729	0.00835573748033748	0.0105898815363676	0.853251432859285	ENSG00000162817
1	0.507575752844431	0.0875547839397232	0.00233359545795646	0	0.402535867757889	ENSG00000152689
1	0.810976137114495	0.0164932828554552	0.0080857656711549	0	0.164444814358895	ENSG00000168385
16	0.274171839669133	0.13822188146565	0.0177957175615198	0.00841019046194756	0.561400370841749	ENSG00000135926
67	0.023908974543338	0.363147013364444	0.0026388665648134	0.0395102428659072	0.570794902661498	ENSG00000206549
81	0.000403023681560783	0.00113570214097502	0.0192852550247173	0.0534192021094394	0.925756817043307	ENSG00000129055
50	0.106621644061748	0.652009791590392	0.00178025123157354	0.0106576134414433	0.228930699674843	ENSG00000244607
1	0.835441982559255	0.0127653574306608	0.00932400787364778	0	0.142468652136436	ENSG00000109667
5	0.506723051679547	0.0660406894129721	0.0169151535246022	0.00179600930706289	0.408525096075816	ENSG00000138639
1	0.026992368314352	0.209760429808457	9.82034545932321e-05	0	0.763148998422598	ENSG00000163297
2	0.530872862053715	0.0248357865184288	0.01842710846943	0.000436646479653581	0.425427596478772	ENSG00000232629
3	0.694226102680568	0.044953242353597	0.0115922201507507	0.000501904827492096	0.248726529987593	ENSG00000179344
1	0.788118510791076	0.0181113204213159	0.00808033812057721	0	0.185689830667031	ENSG00000237541
2	0.53814200962021	0.0251758585206667	0.0181570294132426	0.000431345230061884	0.418093757215819	ENSG00000196735
1	0.200319957999959	0.240155764972722	0.000466324285929256	0	0.55905795274139	ENSG00000204525
1	0.95200904515543	0.0432612910840668	0.000101840004419108	0	0.00462782375608457	ENSG00000137177
1	0.916157131886145	0.0152125303692498	0.00389840607824083	0	0.0647319316663647	ENSG00000124786
1	0.571284846040308	0.114708493610515	0.0015561033254485	0	0.312450557023729	ENSG00000168477
4	0.0260697895823607	0.00180824277579633	0.0616326095933838	0.00336781595591161	0.907121542092548	ENSG00000169193
1	0.487311062104173	0.039221462088936	0.0058104524566807	0	0.46765702335021	ENSG00000146733
1	0.887960800053689	0.061374067287864	0.000722569648176157	0	0.0499425630102704	ENSG00000105983
154	3.9980617489755e-10	0.0872310671730081	5.65275940496994e-10	0.122543596483192	0.790225335378716	ENSG00000146535
3	0.778847384657022	0.106208120309605	0.0024307554752405	0.00021917727037592	0.112294562287756	ENSG00000106344
1	0.868982766002456	0.0125955888268485	0.00764275105712465	0	0.110778894113571	ENSG00000185730
3	0.849589175297814	0.091937659139699	0.00157407535191638	0.000113551852197434	0.056785538358373	ENSG00000175287
52	0.00683703204545367	0.0766843000167383	0.00428926584203854	0.0472435530574643	0.864945849038305	ENSG00000106780
305	0.00712358076260377	0.535980813912362	0.00143369592193395	0.107523865863702	0.347938043539398	ENSG00000122882
1	0.661058227999563	0.22083107068562	0.000352509370431891	0	0.117758191944386	ENSG00000182180
2	0.946598985178464	0.0310593318228575	0.00128223919584363	2.10337802962293e-05	0.021038410022539	ENSG00000130595
1	0.915269043981163	0.0642613579360598	0.000287452578263059	0	0.0201821455045144	ENSG00000198553
1	0.939225172494719	0.0127918507331594	0.0032821040350559	0	0.044700872737066	ENSG00000123191
1	0.00512117585857972	0.304361391696162	1.16184305940846e-05	0	0.690505814014664	ENSG00000140511
1	0.937301809503965	0.0215533611503213	0.0017147170390823	0	0.0394301123066315	ENSG00000258839
46	9.34956002393205e-10	0.000450166021959572	2.06501651062961e-06	0.994266390756471	0.00528137727010334	ENSG00000108592
5	0.0608241586195506	0.00753109504403161	0.0164147510174496	0.00111832170223586	0.914111673616732	ENSG00000176681
3	0.68826354888487	0.0860181685018997	0.00338596669338686	0.000201041875318773	0.222131274044525	ENSG00000168646
5	0.173182347428843	0.0214430046882045	0.0147807075112216	0.00104055681626343	0.789553383555467	ENSG00000238083
3	0.0128543631753213	0.000935886806875708	0.0389316954929285	0.00188910854597666	0.945388945978898	ENSG00000108771
15	0.0608385273416301	0.0153032277321841	0.054164164232675	0.0127674422671777	0.856926638426333	ENSG00000126858
98	0.00020947685494671	0.205280443852046	7.27267584454315e-05	0.0705459453363248	0.723891407198237	ENSG00000159202
11	0.0183872911510492	0.00233709620339774	0.0689163260221749	0.00785703075938143	0.902502255863997	ENSG00000105341
2	0.73276351812722	0.0372174009804329	0.00870592797107535	0.000221086076841517	0.22109206684443	ENSG00000214212
1	0.948703604110392	0.00875300210732676	0.00416020359850297	0	0.0383831901837779	ENSG00000142235
1	0.970020965221127	0.0212121004958123	0.000383376768999462	0	0.00838355751406113	ENSG00000101057
125	0.00493554118778812	0.149707949655786	0.00410568043391721	0.123818657452385	0.717432171270124	ENSG00000214078
1	0.864795686016055	0.0226404719214982	0.00414140041468309	0	0.108422441647763	ENSG00000171222
1	0.950802359172143	0.0132386264737949	0.00240953431486347	0	0.0335494800391986	ENSG00000078747
1	0.941410238074289	0.0370755485686378	0.000532754364215158	0	0.0209814589928584	ENSG00000160218
27	0.0241847169166091	0.149233683958226	0.00267428526602328	0.0156936723876255	0.808213641471516	ENSG00000100376
29	0.0442530932699324	0.026436705973199	0.0426174820210029	0.0245974999927143	0.862095218743151	ENSG00000128408
