nsnps	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf	gene
3	0.954948457801308	3.85515763551474e-05	0.0443768469003471	1.15652037945654e-06	0.000634987201610601	ENSG00000233750.3
1	0.985474801734367	1.64901664273525e-05	0.014269926286663	0	0.000238781812542533	ENSG00000268903.1
12	0.0706741132250416	2.42957374187359e-05	0.902779728973128	0.000284112083093306	0.0262377499813183	ENSG00000225972.1
17	0.0257442679728148	1.26143363745842e-05	0.890943585652409	0.000353604145780687	0.0829459278926208	ENSG00000237973.1
21	1.00905408327081e-15	2.88529997283759e-19	0.983549672889801	0.000265051963919705	0.0161852751462777	ENSG00000237491.8
1	0.979642064021785	2.71027404012613e-05	0.019783503573965	0	0.000547329663848197	ENSG00000230092.7
13	0.107926428457782	2.57607132968525e-05	0.877009769317566	0.000194487909959136	0.0148435536013962	ENSG00000177757.2
58	8.70921211874038e-12	1.48347561758333e-14	0.974465051771979	0.00163594706158795	0.0238990011577075	ENSG00000228794.8
21	2.11709519871195e-21	6.05364451778233e-25	0.981545991866157	0.000262472769019169	0.0181915353648214	ENSG00000225880.5
45	0.00691586635689631	3.7042319769274e-06	0.983980554568405	0.000518451930077534	0.00858142291264495	ENSG00000188976.10
96	2.83015924455171e-15	5.28883740921607e-18	0.992926654640935	0.00185030068452273	0.00522304467454065	ENSG00000187961.13
48	2.645823763948e-06	1.62503307151639e-09	0.984019908617093	0.000588984710419037	0.0153884592236914	ENSG00000187583.10
42	0.0153479291485353	8.49765929758588e-06	0.971373001421375	0.000525072778448688	0.0127454989923437	ENSG00000187642.9
18	0.0347763872106498	3.62334494228873e-05	0.823881120717595	0.000717811671991598	0.140588446950341	ENSG00000272512.1
93	8.17231234184521e-14	1.97342148816142e-16	0.986479788996676	0.00237096775352115	0.0111492432497213	ENSG00000188290.10
181	1.36792323656928e-21	4.52306963538715e-24	0.989876518131751	0.00326619217847589	0.00685728968977043	ENSG00000187608.8
235	6.05996299476378e-11	1.6738746520915e-12	0.967739823968748	0.0267252415168307	0.00553493445214925	ENSG00000217801.9
63	6.88561530153374e-05	7.14474433391333e-08	0.992116843573691	0.0010226619948753	0.00679156683097389	ENSG00000131591.17
15	0.0261829396867292	3.6220908254399e-05	0.843343057644324	0.00103726189021031	0.129400519870482	ENSG00000223823.1
231	5.39444273834922e-14	5.50093459045604e-16	0.969382559879474	0.00986443869245523	0.0207530014280184	ENSG00000186891.13
125	0.000469985206349943	1.54903454761947e-06	0.976780090467928	0.00319984238646624	0.0195485329047073	ENSG00000186827.10
22	0.0203975880392234	7.90919124764452e-06	0.972890854542019	0.000370906950831061	0.00633274127667835	ENSG00000078808.16
195	5.41958655063048e-16	2.85645990574978e-18	0.971724217225748	0.00509841491601907	0.0231773678582337	ENSG00000176022.4
8	0.716587803150026	9.45659477781744e-05	0.279297733883596	3.28710601000333e-05	0.00398702595849943	ENSG00000162572.20
94	0.000187506552830577	2.0429678887705e-07	0.990204593365789	0.00107033490092321	0.00853736088366801	ENSG00000169972.11
63	0.201321163029586	9.9185902470442e-05	0.79230717853759	0.000384461922575906	0.00588801060777818	ENSG00000127054.20
