nsnps	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf	gene
1	0.947157989550208	0.0299973420799028	0.000699236055408935	0	0.0221454323144806	ENSG00000241563
1	0.803092605293168	0.0291346226858941	0.00450057966244385	0	0.163272192358494	ENSG00000250565
2	0.860511768170575	0.0566656657956129	0.00223694967510688	6.67868173770112e-05	0.0805188295413285	ENSG00000115687
93	7.25172797934614e-07	0.15648970465793	4.92589332670337e-07	0.105561073976781	0.73794800360316	ENSG00000138031
56	0.0532754278115842	0.604561774602108	0.00161299040752523	0.0179814111917206	0.322568395987062	ENSG00000114650
80	0.0104757439072845	0.0282656472438178	0.0228030010688646	0.0606492403050515	0.877806367474982	ENSG00000129055
1	0.947109727710624	0.0247345853553557	0.00103834754284458	0	0.0271173393911756	ENSG00000243696
1	0.865583922687393	0.0898966750237933	0.000424573818635036	0	0.0440948284701783	ENSG00000138678
2	0.0115883105993864	0.208146463415407	7.0509743439786e-05	0.000486771202844488	0.779707945038922	ENSG00000249242
2	0.907618656520929	0.0202221999330321	0.00586202200198703	6.4376051588033e-05	0.0662327454924634	ENSG00000164136
11	0.000513526675014662	0.000217412387968336	0.027929034657429	0.010863871857	0.960476154422588	ENSG00000171421
1	0.927026009709344	0.0362030504513026	0.000918059451569711	0	0.0358528803877835	ENSG00000113384
17	0.219855054820368	0.255709876586074	0.00746408580508262	0.00817255967258489	0.50879842311589	ENSG00000072682
26	0.0231666852736559	0.228049709135865	0.00215311272930026	0.0204687881058685	0.726161704755311	ENSG00000112343
5	0.602596691820085	0.105406912666945	0.00776500079315424	0.00107510666222614	0.283156288057589	ENSG00000179344
14	0.023716463203742	0.00687512067427132	0.0438976368583166	0.0118117038703819	0.913699075393288	ENSG00000237541
2	0.118664429601396	0.00555146938479818	0.0364587969906417	0.000867191136682223	0.838458112886482	ENSG00000196735
3	0.00108693132579496	0.0013673668708929	0.000994180083516635	0.00025438805466352	0.996297133665132	ENSG00000204525
3	0.687771852073833	0.0728636695547549	0.00924969303173018	0.000750563314285812	0.229364222025396	ENSG00000232629
37	0.14483947214274	0.147353066000902	0.0220191952551643	0.0217372729252859	0.664050993675907	ENSG00000198502
1	0.93704029736476	0.0265756088728832	0.00123918863019905	0	0.035144905132158	ENSG00000204227
1	0.776863629616343	0.194978315203435	0.000111746565688055	0	0.0280463086145339	ENSG00000204568
1	0.963058375604656	0.00955347337046034	0.00250808811057965	0	0.0248800629143036	ENSG00000153162
2	0.542253486755794	0.403939747816755	0.000143967536221866	5.36362719198761e-05	0.053609161619309	ENSG00000204438
2	0.00740032952249789	0.000289770732491201	0.0482467365936863	0.000946054469497239	0.943117108681827	ENSG00000169193
168	1.98915012600616e-10	0.0433999522522524	6.3641918367851e-10	0.13803753398252	0.818562512929893	ENSG00000146535
1	0.908206600011478	0.00855314544262368	0.00799033248361875	0	0.0752499220622796	ENSG00000182158
1	0.501669913563505	0.0902852550710278	0.00225477198744084	0	0.405790059378026	ENSG00000183742
