nsnps	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf	gene
1	0.668819857667192	0.0125963245906069	0.0160627865356666	0	0.302521031206534	ENSG00000154358
2	0.9409796491804	0.0160051514975898	0.0045217080348423	3.8454833157469e-05	0.0384550364540101	ENSG00000117013
1	0.701481496808635	0.0306733126824218	0.00598851562429011	0	0.261856674884653	ENSG00000163482
3	0.705566614466215	0.140006313348056	0.00131357319840316	0.000107647837744661	0.153005851149581	ENSG00000135914
2	0.00588081998247961	0.248723894208393	3.64179911243726e-05	0.000795702409577155	0.744563165408425	ENSG00000168918
5	0.353376860397659	0.353136989415193	0.00164098297986851	0.00134937329242041	0.290495793914859	ENSG00000127837
81	0.00397866736948753	0.0112117010897608	0.0207713975312396	0.0576264281401978	0.906411805869314	ENSG00000129055
1	0.394913300894975	0.157029812352094	0.00112398877242678	0	0.446932897980504	ENSG00000114026
1	0.939951871199368	0.0536227259065972	0.000110690488799933	0	0.00631471240523452	ENSG00000244607
6	0.0160038816800079	0.00225675791501825	0.0393525741750511	0.00461145547597151	0.937775330753951	ENSG00000109794
11	0.0936284777487601	0.0396395979402959	0.0236268349021189	0.00916898457315373	0.833936104835671	ENSG00000171421
1	0.939269924980021	0.0263513119745331	0.00118322644440123	0	0.0331955366010443	ENSG00000112992
1	0.817817135438349	0.0763365946584196	0.00112194353163335	0	0.104724326371598	ENSG00000155545
4	0.461030059685146	0.473250445359292	0.000259491176764952	0.000201110538407273	0.0652588932403903	ENSG00000166278
5	0.700009346346856	0.122446447247437	0.00561014972160898	0.000810210053441066	0.171123846630657	ENSG00000179344
1	0.895901186045509	0.0205882151277228	0.00348244458573913	0	0.0800281542410287	ENSG00000232629
18	0.281940358481338	0.10682576231311	0.0206660266765878	0.00724693107084642	0.583320921458118	ENSG00000237541
1	0.729153787326378	0.14640705618981	0.000616675407474278	0	0.123822481076338	ENSG00000198502
2	0.157417271016249	0.00736444074791983	0.0347865963646999	0.000827814932292022	0.799603876938839	ENSG00000196735
1	0.961146521258364	0.0345097304590793	0.000117701588075061	0	0.00422604669448112	ENSG00000111877
29	0.167733232772347	0.246549525826628	0.0119611962125751	0.0170249204405812	0.556731124747869	ENSG00000010818
1	0.951814885200318	0.00794015044895095	0.0043079065970109	0	0.0359370577537206	ENSG00000065060
3	0.47028973311185	0.468365912270774	0.000183690081967616	0.00012189989371808	0.0610387646416896	ENSG00000204525
